delivery_date,curve_proxy_7d,curve_proxy_30d,curve_proxy_90d,fv_week_base,fv_month_base,fv_quarter_base,fv_week_peak,fv_month_peak,signal_week_base,signal_month_base,signal_quarter_base,signal_week_peak,signal_month_peak,signal_label_week_base,signal_label_month_base,week_confidence,month_confidence,week_position_size,month_position_size,week_signal_weighted,month_signal_weighted,fv_week_base_p10,fv_week_base_p90,fv_month_base_p10,fv_month_base_p90,inv_gas_spike,inv_wind_revision,inv_residual_load_swing,inv_negative_price_regime,inv_high_error_regime,any_invalidation,avg_residual_load_mw,avg_res_penetration,gas_price,spark_spread_actual,spark_spread_premium,is_thermal_regime,is_res_regime,peak_base_premium_pred,n_negative_hours_pred,base_actual,base_pred
2025-12-21,91.33837797619047,102.44229166666668,94.71818402777778,76.62007597050497,93.59439739996814,103.82214306367135,85.15416029315637,106.36764396324944,-14.718302005685501,-8.847894266698532,9.103959035893567,-6.184217683034106,3.9253522965827585,STRONG_SELL,STRONG_SELL,0.7694686371113003,0.7076406372029627,1.0,0.5,-2.0,-1.0,57.390658996673054,94.54234546188604,68.50974988748695,117.77240299726573,False,False,False,False,False,False,30585.039430729168,0.40587982578246823,28.161,77.83525833333333,-11.937703333333332,True,False,7.754902456188589,0,90.50770833333333,88.35918402925749
2025-12-22,91.03761904761905,102.28407986111111,94.53059953703703,77.45805545042732,95.27985738970801,104.02266020661291,85.63845802542754,108.00611717760489,-13.579563597191722,-7.0042224714030965,9.492060669575878,-5.399161022191507,5.7220373164937826,STRONG_SELL,SELL,0.7707383385126206,0.7022210990764586,1.0,0.5,-2.0,-0.5,58.76386641933994,95.71093192636657,70.2591808897216,120.43502803641084,False,False,False,False,False,False,33187.201890041666,0.4566999734810889,28.161,72.9653625,-16.679942361111117,True,False,11.946057430473175,0,85.6378125,87.17922019952196
2025-12-23,86.34331845238094,102.39018402777778,94.48570023148147,80.0224451097801,96.80042292481737,104.35303050254896,88.35243329497341,109.58464576765837,-6.320873342600848,-5.589761102960409,9.867330271067488,2.009114842592467,7.194461739880595,SELL,SELL,0.7592967889719342,0.6965876811285434,1.0,0.5,-1.0,-0.5,60.592277040381376,99.38322554833839,71.4737308172262,122.59881082424016,False,False,False,False,False,False,24977.50785028125,0.5809743683092389,27.687,61.772412499999994,-28.016661527777792,True,False,9.63901465357182,0,74.2315625,76.93229593985599
2025-12-24,81.14049107142857,100.25555555555555,94.34413425925926,82.31594734524785,98.57249390588532,104.920993875477,90.50588232840472,111.20747255857418,1.1754562738192789,-1.683061649670222,10.576859616217732,9.365391256976153,10.951917003018636,HOLD,HOLD,0.7636318861715125,0.6964326448785565,1.0,0.5,0.0,0.0,63.87089597740118,101.96321428625286,73.34755711777106,124.4987607861909,False,False,False,False,False,False,17598.333182322916,0.67274792240556,27.732,57.028829166666654,-30.662606388888904,True,False,10.658209129059664,0,69.50822916666665,58.34799729537779
2025-12-25,81.10760416666666,95.28826388888888,94.07287615740742,76.89995436248289,100.44362962220748,105.51035357374454,83.8326625328591,113.08584806742675,-4.207649804183774,5.155365733318604,11.437477416337117,2.7250583661924423,17.797584178537875,SELL,BUY,0.7960511164428223,0.697903587694556,1.0,0.5,-1.0,0.5,61.407924827641104,94.2756651728222,75.40184336322663,126.30519266161485,False,False,False,False,False,False,19076.3239915,0.5947363616801978,28.095,58.520270833333335,-24.228653055555547,True,False,10.651705375074606,0,71.16302083333333,57.77221801407436
2025-12-26,84.58238095238094,93.15896875,94.11390625,72.21353627417348,101.62475497847377,105.78912756146666,80.3962262138443,114.29878068135083,-12.368844678207466,8.465786228473775,11.675221311466657,-4.1861547385366435,21.139811931350835,STRONG_SELL,STRONG_BUY,0.7653991239710586,0.698659074066073,1.0,0.5,-2.0,1.0,53.18346390649247,90.99097990551739,76.68029055977105,127.45634014491205,False,False,False,False,False,False,33465.28802957292,0.2947389432781227,28.095,84.87495833333335,4.235964583333356,True,False,8.13493410281859,0,97.51770833333335,83.48720854369684
2025-12-27,82.78505952380952,93.19109375,94.16162615740741,70.09745710264598,103.45364372439052,106.07005991021882,79.42248977399866,116.62681063078907,-12.687602421163547,10.262549974390524,11.908433752811405,-3.3625697498108593,23.435716880789073,STRONG_SELL,STRONG_BUY,0.7529285390237466,0.6895212303575455,1.0,0.5,-2.0,1.0,49.90703790777656,89.7242729150738,77.57057455599393,129.8863539465288,False,False,False,False,False,False,29696.912714416667,0.3894856718860374,28.095,78.28662500000002,-2.4035887499999973,True,False,1.2997386749419633,0,90.92937500000001,83.87640435879713
2025-12-28,83.14078869047619,93.42706597222222,93.7350324074074,69.70045411789606,105.31275955376356,106.2950582539592,79.43599666161722,118.58134595103566,-13.440334572580127,11.885693581541332,12.560025846551795,-3.704792028858961,25.154279978813435,STRONG_SELL,STRONG_BUY,0.7344120779140467,0.68441559945988,0.5,0.5,-1.0,1.0,47.352476146855444,90.15376394841392,79.03272347860027,132.20880343010222,False,False,False,False,False,False,34150.18196763541,0.3230619683435432,28.095,80.3550625,-0.5902184722222188,True,False,7.408930892620006,0,92.99781250000001,88.74518744221069
2025-12-29,84.31361607142857,93.55687499999999,93.27486226851852,72.25957418138763,106.50158283429066,106.46940011836683,82.44239112191376,119.84546897845156,-12.054041890040935,12.944707834290668,13.194537849848317,-1.8712249495148114,26.288593978451573,STRONG_SELL,STRONG_BUY,0.7327213132933523,0.683013458197564,0.5,0.5,-1.0,1.0,50.068206791629386,93.14197273363438,80.14891768879447,133.56125892488654,False,False,False,False,False,False,32587.724683062504,0.4603565569883881,28.095,81.20485416666665,0.11893416666664791,True,False,9.470285196914844,0,93.84760416666666,93.04507655897847
2025-12-30,86.29361607142857,93.67161458333334,92.95797453703705,75.88197848763436,107.7504176004333,106.62388513920739,87.02868795851647,121.29345753352685,-10.411637583794217,14.078803017099958,13.665910602170342,0.7350718870878978,27.62184295019351,STRONG_SELL,STRONG_BUY,0.7245670798371192,0.6805853975991649,0.5,0.5,-1.0,1.0,52.932643382029646,97.32051913076138,81.0912574806779,134.9127277620795,False,False,False,False,False,False,33824.02330338542,0.43080375798062875,28.534,75.25126250000001,-5.953642083333321,True,False,10.686113924923589,0,88.09156250000001,94.88302355532544
