delivery_date,base_pred,peak_pred,offpeak_pred,base_actual,peak_actual,offpeak_actual,base_p10,base_p25,base_p75,base_p90,intraday_spread_pred,peak_base_premium_pred,peak_base_premium_actual,avg_residual_load_mw,avg_res_penetration,avg_wind_mw,avg_solar_mw,gas_price,min_hour_pred,max_hour_pred,n_negative_hours_pred
2025-09-29,116.83138795795317,120.04357730444292,113.61919861146345,131.39124999999999,145.27749999999997,117.505,86.03595765984261,96.12308426953528,134.26515518992736,157.28421132027427,126.02276181209685,3.212189346489751,13.88624999999999,42563.78166666667,0.22937358270756136,4605.7178125,9127.257083333332,32.697,11,17,0
2025-09-30,117.82437367268106,120.53160573261998,115.11714161274216,135.26291666666668,144.3525,126.17333333333335,89.43534939263395,95.78365221491498,134.51395614632827,172.6911513239376,129.25267102449055,2.7072320599389172,9.089583333333309,42781.355208333334,0.23056277131318462,6281.056145833333,7237.598645833333,32.06,10,17,0
2025-10-01,115.5587284109178,119.73973038430098,111.37772643753463,116.61145833333332,127.66125000000001,105.56166666666667,79.06903342106179,90.24751657872002,132.48974812180134,172.83032913326616,158.6434823851862,4.181001973383189,11.049791666666692,40562.88645833333,0.26905339216476964,5407.901666666667,10653.728541666665,31.411,10,17,0
2025-10-02,102.7105248984045,104.01578897720749,101.40526081960151,102.04031249999998,99.8575,104.223125,70.09426626738316,81.34136367274341,119.66780663472919,147.4852134347804,139.9223049519772,1.305264078802992,-2.182812499999983,35034.965,0.3523542622210722,8783.490833333333,11361.914583333331,31.335,10,17,0
2025-10-03,54.25309137429421,48.11575305235075,60.390429696237675,59.99645833333333,60.08208333333334,59.91083333333333,4.494206008178349,15.085140726045804,84.53105201338593,93.99411698279783,126.62245116118547,-6.13733832194346,0.08562500000000739,16726.870520833334,0.644820715873092,21751.44125,9551.886458333332,31.455,11,17,2
2025-10-04,4.29942356498024,4.818898615756962,3.779948514203518,-0.4105208333333333,-0.08187499999999996,-0.7391666666666666,-6.909912601701259,-2.2976406221617056,7.857516642633229,14.813123450911492,56.99208395760597,0.5194750507767214,0.3286458333333333,-68.38531250000051,1.0030575075169468,44436.55437500001,3648.1800000000003,31.438,12,17,7
2025-10-05,5.093846561575471,6.741684324334936,3.4460087988160013,3.1057291666666664,4.926458333333334,1.285,-14.139063591485868,-5.772561654806866,8.787681448608362,26.223589221118367,79.27122203133884,1.6478377627594654,1.8207291666666672,1235.694375000001,0.9765153866071659,40739.6871875,5676.378645833334,31.438,11,17,9
2025-10-06,83.7363662159929,102.5951905972741,64.87754183471169,92.9853125,111.45604166666668,74.51458333333333,10.295196578249067,71.19083542610798,101.8026230697647,131.22572396821857,168.42430157326925,18.858824381281195,18.470729166666672,26858.901770833338,0.5373200593512821,26479.400104166667,3897.1696875000002,31.438,1,17,0
2025-10-07,127.4020194637326,135.61121116519323,119.19282776227199,137.4415625,139.95229166666667,134.93083333333334,91.64819463305446,98.86518811407421,149.34525989606973,183.7171097687151,131.46244313729707,8.209191701460625,2.510729166666664,47251.17999999999,0.1711518802790408,6845.695833333332,2982.827604166667,33.116,1,17,0
2025-10-08,126.84282299054587,134.07150814538562,119.61413783570612,117.90489583333334,124.83229166666668,110.97749999999998,91.3696707669507,95.67451750080369,150.77284796555267,192.81143848332079,147.4810546064769,7.228685154839752,6.927395833333335,45976.99041666667,0.19064316284560068,6307.522083333333,4832.158437499999,33.246,0,17,0
