delivery_date,base_pred,peak_pred,offpeak_pred,base_p10,base_p90,base_actual,peak_actual,peak_premium,next_7d_base_mean,next_30d_base_mean,next_7d_peak_mean,next_30d_peak_mean,next_7d_base_p10,next_7d_base_p90,next_30d_base_p10,next_30d_base_p90
2025-02-24,102.04836501001866,110.72825007317452,93.36847994686282,62.74046252403648,139.59098880489992,91.87249999999999,102.39583333333333,8.679885063155865,114.6540910957765,133.30436220196643,121.37325399775476,144.40488587984598,85.72099638670832,151.84605289228233,101.02998035910163,171.60579707216536
2025-02-25,141.84342140278366,156.86212122579835,126.82472157976902,102.55346179813628,187.6479794991431,141.10583333333332,159.22916666666666,15.018699823014686,113.3606077712263,134.11247471632305,121.84237456083123,145.15625618824257,82.97308341392248,149.92985575016812,101.6501614604217,172.88157808216985
2025-02-26,143.15137603312974,157.89172290949344,128.41102915676603,112.64631072853544,185.36670671187173,134.79875,143.95916666666665,14.740346876363702,115.84481033956094,135.87227133413165,126.55626927885385,146.5761572766348,85.70323173656884,153.01816999368734,104.14856192250166,174.1344487188094
2025-02-27,137.06664377272466,151.08914820784722,123.04413933760209,101.45977149059857,175.97267141279033,126.61500000000001,134.13916666666668,14.022504435122556,117.68227824379107,136.2094779701429,129.21291427553157,146.5834748493311,85.81268496004213,156.50730334990064,104.92334073422259,174.34252384219718
2025-02-28,143.22558149547115,153.8809612115215,132.57020177942078,113.05343626194136,182.78660141918405,129.30291666666668,133.03,10.655379716050362,121.5192836979564,137.21401415842269,133.30681087799073,147.57972503535908,89.28768197134688,160.98324602454682,106.0941509105937,175.29810697903358
2025-03-01,126.04650962049352,130.74271946517982,121.35029977580723,108.05360173406935,158.15864690762476,123.46999999999998,125.005,4.696209844686294,128.2434254611367,136.5462395123646,139.2005211002651,146.36006448650673,97.22498706434885,166.49680002479104,106.26253012992515,174.10569172388188
2025-03-02,98.37723486783551,90.30485403531395,106.44961570035706,41.631824595886904,141.03604015451012,90.45458333333333,76.6375,-8.07238083252156,127.39416174320812,135.01372965461616,135.92853958976124,144.03094360065867,91.73412416188634,167.22280498714628,104.17197068216264,172.65274219128162
2025-03-03,117.47652066764374,116.62957817188801,118.32346316339942,62.21428011679673,179.5072900806432,106.99041666666669,91.40750000000001,-0.8469424957557266,129.5981839800117,134.0619993657935,136.77158646100605,142.75682823972627,91.65895524656638,172.9251337408239,102.1230939404664,172.68099288258426
2025-03-04,121.48198494755134,118.71373927381198,124.2502306212907,72.92632661222994,168.23495561493726,106.47666666666667,95.54416666666667,-2.768245673739358,126.68940734354996,133.31907074805153,131.3218176107223,141.71669267278205,87.42650736286546,170.15184461450878,100.59611981389408,172.3284936622688
2025-03-05,95.76171249988977,84.45670906375027,107.06671593602927,30.2451905500094,148.78684397914895,78.2975,60.024166666666666,-11.3050034361395,119.91945541022996,130.87324698460654,120.83110134704467,138.47713303735733,75.65491876593317,164.92614993840553,97.18538904588449,170.10025693572408
